题目T1,作者A1,地址AD,年份YR
基于时间序列孤立点检测的可疑外汇资金交易识别研究,孙景;张成虎;陈善新;,西安交通大学经济与金融学院;,2010
《教育与现代化》近五年文献计量分析,刘效梅;,安徽大学图书馆;,2010
对美国住房空置率统计的研究,高峰;,天津社会科学院经济社会预测研究所;,2010
基于Felder-Silverman量表用户学习风格模型的修正研究,姜强;赵蔚;杜欣;,东北师范大学;辽宁师范大学;,2010
基于Apriori的电子政务个性化信息服务的实现,李娇;刘西林;,西北工业大学管理学院;,2010
地形特征与山地气候变化空间关联规则数据挖掘研究,陈刚;何政伟;杨斌;,成都理工大学地球科学学院;中石化西南油气分公司勘探开发研究院信息中心;西南科技大学环境与资源学院;,2010
姜寨一期文化遗迹属性数据的关联规则挖掘研究,毕硕本;闾国年;裴安平;孙懿青;,南京信息工程大学计算机与软件学院;南京师范大学地理科学学院;南京师范大学文物与博物馆学系;,2010
Apriori算法对高技能人才市场工资价位影响因素的实证分析,张仁寿;罗林开;叶凌君;,广州大学;厦门大学;,2010
中国经济与环境系统协调发展的实证分析,姚奕;郭军华;倪勤;,南京航空航天大学经济与管理学院;南京师范大学数学科学学院;华东交通大学经济管理学院;,2010
面向企业技术创新决策的专利数据挖掘研究综述(上),岑咏华;王曰芬;王晓蓉;,南京理工大学经济管理学院信息管理系;南京大学信息管理系;,2010
基于SVM数据挖掘的国民经济序列补缺及预测——以青海省国民经济为例,李望晨;张利平;王培承;,潍坊医学院;,2010
情感因素对外语磨蚀群体目标语接触量的影响——基于数据挖掘的建模与分类,倪传斌;,南京师范大学外国语学院;,2010
知识管理系统模型设计研究,何俊杰;,宁波大学图书馆;,2010
基于数据挖掘的Web文本语义分析与标注研究,张玉峰;蔡皎洁;,武汉大学信息资源研究中心;孝感学院;,2010
基于数据挖掘技术在人体肌肉力量数据分析中的应用——以人体握力肌肉力量测试数据研究为例,于岱峰;钟亚平;于亚光;,山东体育学院;,2010
图书馆网络服务行为信息的测量与分析,周奇志;,曲阜师范大学日照校区图书馆;,2010
Unicorn系统流通模块数据挖掘初探,张健;张洪艳;,天津农学院图书馆;,2010
关联规则挖掘技术与第三方物流企业营销决策研究,黄远新;田红英;,上海海事大学;成都职业技术学院;,2010
决策树分类模型在工程项目评标风险预警中的应用,程铁信;郭涛;祁昕;,天津工业大学管理学院;天津大学管理学院;,2010
数据挖掘技术在保险客户理赔分析中的应用,陈希;李迪安;高星;陈帅;谢邦昌;,厦门大学经济学院;台湾辅仁大学统计资讯学系;,2010
面向企业技术创新决策的专利数据挖掘研究综述(下),岑咏华;王曰芬;王晓蓉;,南京理工大学经济管理学院信息管理系;南京大学信息管理系;,2010
数据挖掘在大学英语教学质量分析中的应用研究,吴羊;,上海大学外国语学院;,2010
网络课程资源自动量化评价研究,王满;徐朝军;,南京师范大学教育技术系;,2010
Web使用模式挖掘系统的框架设计,朱志国;,大连理工大学管理学院;东北财经大学;,2010
基于读者信息行为分析的高校图书馆用户关系管理策略,叶晓慧;,重庆师范大学图书馆;,2010
基于关联挖掘技术的数字图书馆个性化推送服务,熊拥军;陈春颖;,中南大学图书馆;,2010
数字图书馆个性化信息服务研究,李咏梅;,安徽经济管理学院图书馆;,2010
数据挖掘技术在钢铁行业的应用,焦国华;黄健柏;黄晖;,中南大学商学院;,2010
基于模糊动作关联规则挖掘的合作企业间关系价值,胡健;李向阳;,哈尔滨工业大学经济与管理学院;,2010
数据挖掘技术在零售企业会员价值预测中的应用研究,刘伟江;段书勇;王勇;,吉林大学商学院;,2010
在线交易纠纷对卖家评价结果影响的实证研究,邵兵家;杨海峰;,重庆大学经济与工商管理学院电子商务与市场学系;重庆大学经济与工商管理学院;,2010
基于关联规则挖掘方法的结构性减税实证研究,孙智勇;刘星;,重庆大学经济与工商管理学院;,2010
用LDA Boosting算法进行客户流失预测,应维云;蔺楠;谢雅雅;李秀;,上海财经大学;清华大学国家CIMS工程研究中心;,2010
基于OPAC读者行为挖掘的个性化服务系统关键技术分析,张炜;洪霞;,扬州大学;,2010
“211”大学图书馆管理系统研究——基于“211”大学图书馆管理系统的调查,郑伟;徐宝祥;高琦;,吉林大学管理学院;辽宁大学图书馆;沈阳市第四人民医院图书馆;,2010
新技术思想与数字图书馆发展研究,奉国和;,华南师范大学经济管理学院;,2010
对统计学领域数据挖掘研究的反思,安康;韩兆洲;,暨南大学经济学院;暨南大学教育学院;,2010
数据流挖掘技术研究,王大将;孙洁;,南京陆军指挥学院作战实验中心;常州技术师范学院计算机系;,2010
数据挖掘在家电企业绩效评价中的应用研究,袁放建;王新华;,陕西师范大学国际商学院;,2010
“科学主义”在中国是一个什么样的命题?——基于CNKI网络数据挖掘的信息分析,吴标兵;,武汉大学哲学学院;,2010
教育资源共享网络中教师聚类的提取与应用,蔡莉;魏云刚;,辽宁铁岭师范高等专科学校;北京师范大学信息科学与技术学院;,2010
基于Ward法的区域空间聚类分析,杨志恒;,山东经济学院山东区域经济研究院;,2010
基于关联规则的高校课程关联性分析,邓砚谷;佘颖;,南昌航空大学经管学院管理科学与工程系;南昌航空大学国际教育学院;,2010
基于网络协作标注的标签消歧方法述评,窦玉萌;,首都图书馆;,2010
基于语义网的技术监测方法研究,陈晓鹏;仝允桓;,清华大学经济管理学院;清华大学技术创新中心;,2010
数字电视点击流数据的应用价值探讨,杨建林;刘娟;,南京大学信息管理系;,2010
基于信息抽取的文本知识挖掘模型研究,余肖生;孙珊;,三峡大学计算机与信息学院;武汉大学信息管理学院;,2010
基于数据挖掘的图书智能推荐系统研究,丁雪;,武汉大学信息管理学院;武汉大学信息资源研究中心;,2010
基于垂直搜索的网络监督情报预警系统研究,廖建军;郭秋萍;李筱宁;,郑州航空工业管理学院;河南财经学院成功学院;,2010
关联规则挖掘技术在图书借阅服务中的应用研究,任贤姬;,哈尔滨理工大学图书馆;,2010
国外竞争情报软件比较研究,肖可;,华南师范大学经济与管理学院;,2010
数据挖掘与统计分析,董芸;,苏州市职业大学;,2010
基于粗糙集技术的胜任力模型简化方法探析——以简化高科技企业管理人员胜任力模型为例,丁越兰;黄晶;韩蕾;,陕西师范大学国际商学院;,2010
北京新型农民科技培训的需求及影响因素的实证研究,刘芳;王琛;何忠伟;,北京农学院经济管理学院;,2010
基于机器学习的上市公司财务预警模型的构建,蒋盛益;汪珊;蔡余冲;,广东外语外贸大学信息学院;广东外语外贸大学财经学院;,2010
基于数据挖掘的高校人才引进与培养策略研究,李锋;尹洁;吴洁;,河海大学商学院;江苏科技大学研究生部;江苏科技大学经济管理学院;江苏科技大学科技处;,2010
射击运动员技术训练监测系统的研制,刘敏;李建英;,山西大学体育学院;,2010
ILASII OPAC系统访问日志建模初探,王泽贤;李美红;,广州大学图书馆;,2010
人物专题数据库的构建及其数据挖掘探索——以中国女性人物专题数据库构建为例,谢嫚;,广东女子职业技术学院图书馆;,2010
基于半静态分层抽样的模糊聚类分析方法的改进,谢笑盈;,浙江工商大学统计学院;,2010
经营性公共基础设施TOT项目融资系统模式研究,马丽;王松江;韩德宝;,昆明理工大学管理与经济学院;,2010
服装零售店非财务指标的采集与应用研究,叶逢春;,湖南商学院工商管理学院;,2010
数据挖掘获取的知识的智能评价方法,李兴森;张玲玲;朱正祥;,浙江大学宁波理工学院管理分院;中国科学院虚拟经济与数据科学研究中心;大连理工大学系统工程研究所;,2010
多渠道整合战略在客户关系管理中的应用研究,陈卫华;,华中科技大学管理学院;,2010
基于技术创新的人力资源科学化管理研究,刘玉;武振业;陈叶梅;,西南交通大学经济管理学院;西南交通大学继续教育学院;,2010
基于数据挖掘的交通流预测模型,闫伟;刘云岗;王桂华;高琦1;,山东大学能源与动力工程学院交通运输研究所;山东大学机械工程学院;,2010
基于最大频繁模式挖掘算法进行书目推荐系统的设计与实现,赵麟;,南开大学图书馆;,2010
基于Web Services的个性化信息推荐系统的研究与设计,赵麟;,南开大学图书馆;,2010
基于数据挖掘的信贷客户信用评估系统研究,佘燕达;李海晨;,通化师范学院计算机科学系;黑龙江大学信息管理学院;,2010
数据挖掘和知识发现领域热点主题分析,吴思竹;,中国科学院国家科学图书馆;中国科学院研究生院;,2010
基于数据挖掘的图书馆危机与预警管理模式研究,沈嵘;,杭州师范大学钱江学院图书馆;,2010
数据挖掘在人岗匹配中的应用研究,张志宇;吕明丽;李从东;,天津大学;天津商业大学;暨南大学;,2010
分布式环境下的国有企业智能监管系统研究,毋贤祥;,武汉理工大学经济学院;,2010
论数据挖掘与电子商务的契合,钱晓东;王蕾;,兰州交通大学;,2010
WEB文本海量数据挖掘应用中的多点数据采集及处理问题研究,曾锡山;胡俊荣;,华南师范大学计算机学院;华南师范大学图书馆;,2010
网络社区用户兴趣挖掘的数据预处理研究,石季辉;于长锐;刘兰娟;,上海财经大学信息管理与工程学院;,2010
图书馆绩效指标数据挖掘方法研究,黄红;,南京图书馆;,2010
基于数据挖掘的决策支持系统分析研究,陈路明;,长春中医药大学图书馆;,2010
网络环境下教师专业知识发展技术策略研究,赵明晖;郑燕林;,东北师范大学传媒科学学院;,2010
组织机构文本信息资源管理应用研究,孙镇;王惠临;,北京大学信息管理系;中国科学技术信息研究所;全国组织机构代码管理中心;,2010
基于数据挖掘的竞争情报与知识管理融合模型研究,郑艳超;,华南师范大学经济与管理学院;,2010
基于数据挖据的科学基金资助监测方法研究,段庆锋;汪雪锋;朱东华;,北京理工大学管理与经济学院;中北大学经济与管理学院;,2010
数据挖掘在学习管理系统中应用的研究进展综述,肖明;陈嘉勇;栗文超;,北京师范大学管理学院;,2010
关联规则挖掘技术在体质指标分析中的应用研究,乔克满;欧阳为民;孙卫;,巢湖学院体育系;上海体育学院经济管理学院;,2010
让数据说话:决策支持系统在教育中的应用,顾小清;黄景碧;朱元锟;袁成坤;,华东师范大学教育信息技术学系;,2010
