题目T1,作者A1,地址AD,年份YR
“大数据”时代:新闻业面临的新震荡,彭兰;,中国人民大学新闻学院;,2013
数据引证研究:进展与展望,侯经川;方静怡;,华东师范大学商学院信息学系;,2013
微电影、大数据、三网融合:中国传媒业跨入新传播时代的门槛——社会视角下的2012中国传媒业关键词,喻国明;宋美杰;,中国人民大学新闻学院;,2013
基于大数据的企业竞争情报系统模型构建,黄晓斌;钟辉新;,中山大学资讯管理学院;,2013
大数据:企业竞争情报的机遇、挑战及对策研究,吴金红;张飞;鞠秀芳;,武汉纺织大学管理学院;南京大学中国社会科学研究评价中心;,2013
大数据对媒体经营管理的影响及应对分析,曾凡斌;,暨南大学新闻与传播学院;中国人民大学新闻学院;,2013
传播学视野中的大数据与新媒体发展——第二届“新媒体与社会发展”全球论坛暨中英新媒体与社会发展双边对话综述,刘怡;李慧君;,上海交通大学人文艺术研究院;,2013
大数据时代图书馆的服务创新与发展,韩翠峰;,兰州商学院图书馆;,2013
大数据时代的竞争情报发展动向探析,刘高勇;汪会玲;吴金红;,广东工业大学管理学院;暨南大学管理学院;武汉纺织大学管理学院;,2013
大数据背景下商务管理研究若干前沿课题,冯芷艳;郭迅华;曾大军;陈煜波;陈国青;,国家自然科学基金委员会管理科学部;清华大学经济管理学院;中国科学院自动化研究所;,2013
大型数据资源的整合共享与利用研究,陈敏;周江波;高晖;,广州市人力资源和社会保障局;,2013
学习分析技术:挖掘大数据时代下教育数据的价值,魏顺平;,国家开放大学现代远程教育研究所;,2013
开源工具支持下的社会网络分析——NodeXL介绍与案例研究,孙洪涛;,中央民族大学;,2013
大数据创新:欧盟开放数据战略研究,曹凌;,西北大学公共管理学院;,2013
Hadoop环境下的分布式协同过滤算法设计与实现,肖强;朱庆华;郑华;吴克文;,南京大学信息管理学院;南京大学工程管理学院;,2013
大数据对图书馆的启示,姜山;王刚;,天津医科大学图书馆;,2013
大数据时代下图书馆开展信息服务的对策,王捷;,沈阳理工大学图书馆;,2013
我国大数据领域研究论文的计量分析,韩芳芳;范群;韩青青;,西南大学计算机与信息科学学院;西安高新科技职业学院;山西医科大学汾阳学院;,2013
大数据环境下技术创新管理方法研究,朱东华;张嶷;汪雪锋;李兵;黄颖;马晶;许幸荣;杨超;朱福进;,北京理工大学管理与经济学院;,2013
第三次工业革命的特点及其对中国的启示,闫海潮;,天津财经大学人文学院;,2013
政务社交媒体研究进展,吴云;胡广伟;,南京大学信息管理学院;,2013
基于大数据的智慧政府门户:从理念到实践,于施洋;杨道玲;王璟璇;张勇进;王建冬;,国家信息中心信息化研究部;,2013
知识咨询:大数据时代图书馆的知识服务增长点,王天泥;,辽宁省图书馆;,2013
全渠道零售的含义、成因及对策——再论迎接中国多渠道零售革命风暴,李飞;,清华大学经济管理学院;,2013
“大数据”与政府统计改革,许小乐;,国家统计局国民经济综合统计司;,2013
大数据视角下信息管理与信息系统专业建设研究,闫娜;,天津财经大学图书馆;南开大学商学院信息资源管理系;,2013
观点摘编,马婧;,NA,2013
大数据时代下图书馆的挑战及其应对策略,朱静薇;李红艳;,合肥工业大学图书馆;,2013
大数据技术在数字出版中的应用前景展望,刘鲲翔;杜丽娟;丁雪;,北京师范大学出版社;中国电影出版社;,2013
大数据时代数字出版产业的发展趋势,孙玉玲;,湖南大学新闻传播与影视艺术学院;,2013
大数据时代的银行业发展,闫冰竹;,北京银行;,2013
宏观经济统计分析发展的基本问题,赵彦云;,中国人民大学统计学院应用统计科学研究中心;,2013
大数据助力智慧城市科学治理,明仲;王强;,深圳大学计算机与软件学院党委;深圳大学计算机与软件学院;,2013
大数据时代背景下挖掘教育数据的价值——教育部科学技术研究重点项目成果《教育数据挖掘:方法与应用》出版,页川;,NA,2013
大数据时代的数据新闻报道——以英国《卫报》为例,文卫华;李冰;,北京交通大学语言与传播学院;,2013
破坏性创新、大数据与图书销售,王钰;,电子工业出版社;,2013
物联网环境下用户行为控制模式研究,张兴旺;李晨晖;,桂林理工大学图书馆;桂林理工大学现代教育技术中心;,2013
图书馆大数据体系构建的学术环境和战略思考,张兴旺;,桂林理工大学图书馆;,2013
大数据知识服务的内涵、典型特征及概念模型,秦晓珠;李晨晖;麦范金;,桂林理工大学图书馆;桂林理工大学现代教育技术中心;,2013
大数据生态系统在图书馆中的应用,郭自宽;张兴旺;麦范金;,桂林理工大学图书馆;,2013
大数据知识服务平台构建关键技术研究,李晨晖;崔建明;陈超泉;,桂林理工大学现代教育技术中心;,2013
下一代数字图书馆的发展思考,周杰;苏静;曾建勋;,中国科学技术信息研究所信息资源中心;中国科学技术信息研究所;,2013
大数据知识服务体系研究,张兴旺;,桂林理工大学图书馆;,2013
资源发现服务:图书馆服务与研究的新视角,郑丽君;,华南农业大学图书馆;,2013
呼唤“社会最大公约数”:2012年社会舆情运行态势研究——基于百度热搜词的大数据分析,喻国明;,中国人民大学新闻学院;,2013
健康信息的大数据应用:内容、影响与挑战,喻国明;何睿;,中国人民大学新闻学院;,2013
互联网大数据挖掘与非遗活化研究,吴祐昕;吴波;麻蕾;,复旦大学新闻学院;江南大学商学院;江南大学设计学院;,2013
新一代信息技术在知识产权服务领域的应用,金江军;刘菊芳;,中国电子信息产业发展研究院;国家知识产权局规划发展司;,2013
刍议大数据时代的电子政务,王晋;舒宝淇;,云南大学公共管理学院;云南大学图书馆;,2013
政府网站分析进入大数据时代,于施洋;王建冬;,国家信息中心信息化研究部;,2013
大数据时代教育的可能转向,喻长志;,马鞍山师范高等专科学校;,2013
高等教育的国际发展态势——基于高等教育网站内容的分析,杨秋波;郄海霞;王杰;,天津大学教育学院;,2013
二维码的现状与未来,郭全中;,国家行政学院社会和文化教研部;,2013
大数据与关联数据:正在到来的数据技术革命,刘炜;夏翠娟;张春景;,上海图书馆上海科学技术情报研究所;,2013
大数据的缘起、冲击及其应对,钟瑛;张恒山;,华中科技大学新闻与信息传播学院;,2013
艺术设计专业大数据处理必要性研究,吴晶;张瑞;水静;,兰州交通大学艺术设计学院;兰州商学院信息工程学院;,2013
基于大数据的h指数及其衍生指数的探索性因子分析研究,阎素兰;彭秋茹;张超群;杨波;,南京农业大学信息科学技术学院;南京农业大学;,2013
基于互联网舆情新视角的竞争情报研究进展——竞争情报国际会议(2012)综述,王强1;余振刚;付宏;,北京大学新闻与传播学院;北京市科学技术情报研究所;北京市科学技术研究院竞争情报与创新评估重点实验室;,2013
公共图书馆应用大数据的策略研究,容春琳;,浙江师范大学图文信息中心;,2013
大数据视域下社会舆情研究的新境界,李彪;,中国人民大学;,2013
大数据与新闻理念创新——以全球首届“数据新闻奖”为例,王斌;,中国人民大学新闻学院;,2013
大数据助推银行全面风险管理,周继述;王雪松;,IBM;,2013
信息构建理论视野的政府微博“去内孤岛化”评价,侯宝柱;韩琳;贺灵敏;王树明;,延安大学公共管理学院;,2013
大数据时代高校云资源应用,刘中宇;刘海良;,中南大学信息与网络中心;,2013
学习分析:教育信息化的新浪潮,吴永和;陈丹;马晓玲;曹盼;冯翔;祝智庭;,华东师范大学教育信息化系统工程研究中心;上海数字化教育装备工程技术研究中心;华东师范大学教育信息技术学系;华东师范大学信息学系;,2013
大数据视域下的虚拟学习社区安全研究——基于门限代理签名的协同学习系统探讨,李凤英;齐宇歆;薛庆水;,上海交通大学继续教育学院;漳州师范学院教育科学与技术系;,2013
大数据时代E-learning融合式学习框架——学习的规模效益与个性化的实现途径,吴战杰;,华东师范大学教育信息技术学系;,2013
喜忧参半“大数据”,郑志励;,复旦大学中国语言文学系;,2013
科学研究范式的演化——大数据时代的科学研究第四范式,邓仲华;李志芳;,武汉大学信息管理学院;,2013
大数据时代情报学面临的挑战和机遇,江俞蓉;张天明;,吉林大学管理学院;,2013
“大数据时代”科技期刊的出版革命及面临挑战,吴锋;,江南大学数字媒体学院;,2013
大数据时代出版业“三维空间”关系链一体化经营策略分析,程忠良;,安庆师范学院新闻研究室;,2013
转型升级背景下小微企业专利融资模式创新研究,李明星;Nelson Amowine;何娣;张慜;,江苏大学管理学院;北京市建筑设计研究院有限公司;,2013
大数据时代的艺术学对策研究,于平;,中华人民共和国文化部文化科技司;,2013
中国梦开创传媒精神新时代,由佳田;,中国农业大学人文与发展学院;,2013
论大数据时代政务数据的创新应用,黄长清;,武汉市信息产业办公室;,2013
基于“学习分析”技术的学习平台开发与应用研究,朱珂;刘清堂;,华中师范大学信息与新闻传播学院;,2013
大数据分析下的中国社会舆情:总体态势与结构性特征——基于百度热搜词(2009—2012)的舆情模型构建,喻国明;,中国人民大学新闻学院;,2013
微博中热点话题的内容特质及传播机制研究——基于新浪微博6025条高转发微博的数据挖掘分析,李彪1;,中国人民大学新闻学院;中国人民大学新闻与社会发展研究中心;,2013
从简单迁移到系统重构——信息技术支持的教师培训管理研究与实践,魏非;姜昌华;,华东师范大学教育信息技术学系;华东师范大学开放教育学院;,2013
大数据及其在教育中的应用,陆璟;,华东师范大学课程与教学系;上海市教育科学研究院普教所;,2013
大数据对教育意味着什么,沈学珺;,上海市教育科学研究院普教所;,2013
学习分析:更好地理解学生个性化学习过程——访谈学习分析研究专家George Siemens教授,魏雪峰;宋灵青;,鲁东大学教师教育学院;中央电化教育馆中国电化教育杂志社;,2013
大数据时代的新闻与传播学教育:专业设置、学生技能、师资来源,祝建华;,香港城市大学媒体与传播学系;,2013
大数据现象对官方统计的影响,申斯;,信阳农林学院管理科学系;,2013
大数据时代基于众包的竞争情报运行机制研究,陈强;吴金红;张玉峰;,武汉纺织大学管理学院;武汉大学信息资源研究中心;,2013
