题目T1,作者A1,地址AD,年份YR
数据挖掘技术在图书馆学科数据馆藏分析中的应用,施晓华;,上海交通大学图书馆;,2011
机会发现及其在情报学方面的应用,李琳;,南京大学信息管理系;,2011
基于领域本体和语义相似度的数据挖掘模型,唐晓波;罗毅;,武汉大学信息资源研究中心;武汉大学信息管理学院;,2011
基于数据挖掘技术的企业竞争情报系统模型研究,李会;程刚;,安徽财经大学信息工程学院;,2011
企业2.0在知识管理中的应用研究,盛小平;田倩;,吉首大学信息资源研究所;华南师范大学经济与管理学院;,2011
基于决策树分类的云南省迪庆地区景观类型研究,李亚飞;刘高焕;黄翀;,中国科学院地理科学与资源研究所资源环境与信息系统国家重点实验室;,2011
反洗钱跨组织多层次监测体系构建及其仿真验证,宋媚;张朋柱;薛耀文;刘璇;,上海交通大学安泰经济与管理学院;山西师范大学管理学院;,2011
基于数据挖掘的会计舞弊识别问题研究综述,汪士果;张俊民;,天津财经大学商学院;,2011
知识地图相关概念辨析及其研究进展,唐钦能;高峰;王金平;,中国科学院国家科学图书馆兰州分馆;中国科学院资源环境科学信息中心;中国科学院研究生院;,2011
基于专利计量的企业技术相似性网络测度研究,张曦;王贤文;刘则渊;侯海燕;,大连理工大学WISE实验室;,2011
企业R&D投入与企业价值相关关系实证研究——基于沪深两市上市公司的数据挖掘,周艳;曾静;,南京理工大学经济管理学院;南京大学;,2011
CSCL中基于数据挖掘的角色分析研究,陈鹏;李艳燕;,北京师范大学教育技术学院;,2011
近十年国内图书馆数据挖掘研究文献计量分析,奉国和;奉永桃;,华南师范大学经济管理学院;,2011
日志分析法在数字图书馆可用性评价中的应用,黄晓斌;邱明辉;,中山大学资讯管理系;,2011
基于函数型数据分析的数据挖掘功能研究,王凯平;,山东大学管理学院;,2011
基于自组织数据挖掘的电子商务客户流失预测模型,张秋菊;朱帮助;,五邑大学系统科学与技术研究所;北京理工大学管理与经济学院;,2011
金属期货与现货市场价格互动关联规则挖掘研究,郑涛;,燕山大学经济管理学院;,2011
高校科研效率与规模收益状况分析,许余洁;王鑫;,中国人民大学经济学院;中国质量协会;,2011
2011年国际工业信息技术学术会议,枫;,NA,2011
突发公共事件应急信息系统框架与功能,寇纲;彭怡;石勇;,电子科技大学经济与管理学院;中国科学院虚拟经济与数据科学研究中心;,2011
基于协同过滤的图书推荐模型,安德智;刘光明;章恒;,甘肃政法学院计算机科学学院;甘肃省计算中心;,2011
馆藏学术信息资源整合模型初探,陈静;郑建明;,南京医科大学图书馆;南京大学信息管理系;,2011
基于组合分类挖掘模型的调查问卷数据预处理,李春林;李冬连;万平;,河北经贸大学数学与统计学学院;,2011
WordNet与SUMO本体之间的映射机制研究,王效岳;胡泽文;白如江;,山东理工大学科技信息研究所;,2011
基于自组织数据挖掘的区域物流需求预测,许沛沛;何跃;,四川大学工商管理学院;,2011
基于CRM信息技术的渠道偏好度模型的管理应用——以中国电信行业为例,吴辅世;,南开大学商学院;,2011
国际股指波动性的非对称效应异方差模型及聚类分析,柴尚蕾;郭崇慧;张震;,大连理工大学系统工程研究所;,2011
近10年中国体育事业发展态势分析,雷福民;权德庆;史进;万元元;魏华;李伟平;,西安体育学院;陕西行政学院;,2011
集成数据挖掘与流程挖掘的农业保险竞争情报系统构建,欧阳越秀;徐红;张素菊;,上海师范大学商学院;吉林大学学报编辑部;吉林大学公共外语教育学院;,2011
基于网格的分布式数据挖掘仿真研究,付弦;丁一;,湖北师范学院计算机科学与技术学院;,2011
基于数据挖掘的个人身份信息自动识别模型研究,张玉峰;张苗苗;何超;,武汉大学信息资源研究中心;,2011
基于代价敏感决策树的客户价值细分(英文),邹鹏;莫佳卉;江亦华;叶强;,哈尔滨工业大学管理学院;德克萨斯大学达拉斯分校管理学院;加利福尼亚州立大学商学院;,2011
基于空间数据挖掘聚类分析的城市房价分布规律研究,张绍基;许菡;,中国人民大学公共管理学院;首都师范大学资源环境与旅游学院;,2011
电子商务发展的智能化需求,张冬青;,黑龙江大学信息管理学院;,2011
DBpedia及其典型应用,朝乐门;张勇;邢春晓;,北京石油化工学院经济管理学院;清华大学信息技术研究院;,2011
数字图书馆知识发现系统平台构建策略研究,靳晓恩;丁邦友;,南昌工程学院图书馆;,2011
查询推荐技术综述,徐勇;赵俊杰;沈小玲;,安徽财经大学信息工程学院;,2011
基于Disconnected Apriori算法的图书馆书目推荐服务,邓奇强;,怀化学院图书馆;,2011
基于数据挖掘的情报主导反恐,王沙骋;,中央财经大学国防经济与管理研究院;,2011
信用卡客户的分类研究,张培强;,山西财经大学应用数学学院;,2011
基于地域因素的连锁商业分布式决策树算法,琚春华;肖亮;,浙江工商大学科技处;浙江工商大学工商管理学院;,2011
建筑企业项目群选择的ANP群体决策模型,颜红艳;张飞涟;唐文彬;邓永红;,中南大学土木建筑学院;湖南财政经济学院工程管理系;长沙理工大学经济与管理学院;,2011
海峡西岸经济区行业发展数据分析模型研究,王园;,集美大学工商管理学院;,2011
关于中国社会总体和谐度的调查分析,李春林;屈驳韵;万平;,河北经贸大学数学与统计学学院;,2011
智能决策支持系统框架研究,曾德华;郑晓齐;,北京航空航天大学经济管理学院;,2011
第6届数字信息与管理国际会议,枫;,NA,2011
2011年数据挖掘欧洲会议,枫;,NA,2011
研究生如何快速了解课题国内研究现状——以“循环经济”为例,沈艳红;张群;彭奇志;,江南大学图书馆;,2011
现代远程教育辍学率的挖掘分析——基于安徽地区1999-2009年数据,朱祖林;毕磊;齐新安;李莹;陈彦彦;宋阳;,安徽广播电视大学现代远程教育研究所;安徽广播电视大学招生就业与系统建设办公室;中央广播电视大学现代远程教育研究所;安徽广播电视大学师范与基础教学部;,2011
金融危机背景下知识管理研究的新趋势,程少锋;叶志伟;周赟;,浙江万里学院现代物流学院;浙江大学宁波理工学院管理分院;,2011
我国社会科学领域数据挖掘研究的文献计量分析,柯健;李超;,安徽财经大学管理科学与工程学院;中南财经政法大学统计与数学学院;,2011
图书馆个性化服务中的Web日志分析技术研究,陈雅;谭华军;郑建明;,南京大学信息管理系;,2011
图书流通关联规则分析,何欢;,上海交通大学情报科学技术研究所;,2011
物联网技术在仓储物流领域应用分析与展望,武晓钊;,北京财贸职业学院;,2011
基于专利数据挖掘的高技术产业聚类分析,郑婉婷;,华中科技大学;,2011
基于数据挖掘技术的超市顾客群研究,肖生苓;牟娌娜;王维;高晓红;,东北林业大学工程技术学院;,2011
基于DW+DM融合模式的企业竞争情报系统(E-CIS)研究,佟泽华;姚伟;陈全平;,南开大学商学院;,2011
基于序列模式挖掘的读者借阅行为分析,陈春颖;熊拥军;,中南大学图书馆;,2011
微博客中基于时序的非正式信息流机制研究——以sina微博为例,胡媛;,武汉大学信息管理学院;,2011
复杂网络社团结构划分算法的情报学应用研究,刘小玲;谭宗颖;,中国科学院国家科学图书馆;中国科学院国家科学图书馆情报研究部;中国科学院研究生院;,2011
图书馆领域的书目挖掘研究,武海东;,第三军医大学图书馆;,2011
基于Web数据挖掘的个性化e-learning解决方案推荐系统研究,赵蔚;余延冬;张赛男;,东北师范大学;聚光科技(杭州)股份有限公司;吉林财经大学;,2011
知识发现(KD)研究热点与前沿的信息可视化分析,郭凌辉;,武汉大学信息管理学院;,2011
数据发布领域匿名隐私保护相关技术研究,徐勇1;王浩;李东勤;,安徽财经大学管理科学与工程;合肥工业大学计算机与信息学院;,2011
基于本体及多代理的图书馆决策支持系统模型研究,夏正伟;,武汉大学图书馆;,2011
基于关联规则的调查问卷多项选择题分析,张士玉;郝旭光;,北京联合大学管理学院;对外经济贸易大学国际商学院;,2011
基于数据挖掘的中国科技论文在线首发论文下载次数典型特征研究,邱长波;余莉;,吉林大学管理学院;,2011
基于分类数据挖掘技术的情报分析系统研究,王卓君;,解放军国际关系学院;,2011
电信企业客户细分模型构建与应用研究,贺仁龙;叶宇航;赵晓康;,中国电信股份有限公司上海研究院;东华大学管理学院;,2011
结合商品标题和描述的在线评论特征词选择方法研究,梁昌勇;王倩倩;陆文星;丁勇;,合肥工业大学管理学院;,2011
企业知识门户在知识共享中整合模型及实现研究,靖继鹏;尹焱鑫;高普有;,吉林大学管理学院;吉林大学信息资源研究中心;吉林大学后勤服务中心;,2011
近10年国内知识管理研究热点——基于CSSCI数据库的词频分析,储节旺;王龙;,安徽大学管理学院;,2011
基于地方知识产权战略的专利情报分析软件研究——以东莞市为例,王根;,东莞理工学院图书馆;,2011
移动商务中面向客户细分的KSP混合聚类算法,邓晓懿;金淳;樋口良之;韩庆平;,大连理工大学系统工程研究所;福岛大学理工学部共生系统工程系;佛罗里达州立大西洋大学信息技术及运作管理系;,2011
基于图论和信息最大化保留的在线推荐方法,李永立;吴冲;王崑声;,中国航天科技集团公司航天710所;哈尔滨工业大学管理学院;,2011
地方政府廉政评价科学化的路径研究,杜治洲;,北京航空航天大学公共管理学院廉政研究所;全国廉政研究与教育学会;,2011
国内图书馆数据挖掘技术实践应用进展分析,冯研;王馨;,大连医科大学图书馆;,2011
基于数据挖掘的竞争对手关键成功因素分析研究,张玉峰;徐海峰;,武汉大学信息资源研究中心;,2011
专利质押融资的质物筛选系统研究,朱国军;万朝阳;,淮海工学院商学院;河海大学管理科学与工程博士后流动站;江苏银行连云港分行;,2011
负向数据补偿算法及其在供应商选择中的应用,杨益华;陈菊红;,西安理工大学经济与管理学院;广州铁路职业技术学院;,2011
基于独立成分分析的时间序列谱聚类方法,郭崇慧;苏木亚;,大连理工大学系统工程研究所;,2011
数据挖掘技术在Moodle课程管理系统中的应用研究,王全旺;赵兵川;,山西大同大学教育科学与技术学院;,2011
基于OSA算法和GMDH网络集成的电子商务客户流失预测,朱帮助;张秋菊;邹昊飞;魏一鸣;,五邑大学经济管理学院;北京理工大学管理与经济学院;中国国际工程咨询公司;,2011
