题目T1,作者A1,地址AD,年份YR
德国联邦数据保护法的发展趋势,马民虎;冯立杨;,西安交通大学法学院;,2009
基于网站自身数据的C2C在线拍卖运营研究,李先国;张茜;,中国人民大学商学院;,2009
城市功能分区的空间聚类方法研究及其应用——以济南市为例,王艳;宋振柏;吴佩林;,山东理工大学建筑工程学院;山东理工大学资源与环境工程学院;山东理工大学经济学院;,2009
策略性管理活动描述文本的创建方法研究,史旗凯;郭菊娥;,西安交通大学管理学院;,2009
决策树数据挖掘技术在公共事业管理绩效评价中的应用研究,吴亮;,贵州师范大学经济与管理学院;,2009
基于OCA的客户细分研究,赵珩君;,四川大学工商管理学院;,2009
网络环境下企业持续性情报保障研究,董坚峰;张玉峰;唐涛;,武汉大学信息资源研究中心;,2009
中小企业分析型CRM的框架设计,赵晓倩;吴洪波;,哈尔滨理工大学经济管理学院;,2009
粗糙集技术在人才招聘中的应用,陶磊;杜娟;苏兆国;,重庆工学院经济与贸易学院;西南交通大学经济管理学院;,2009
文本自动聚类技术研究,王伟;,东北财经大学图书馆;,2009
网络信息安全防范与Web数据挖掘技术的整合研究,柴文光;周宁;,广东工业大学计算机学院;武汉大学信息管理学院;,2009
基于GeoDa-GIS的山东省农民人均收入水平时空分异研究,郭平波;赵华;,江西理工大学建筑与测绘工程学院;,2009
电子商务中的个性化推荐方法评述,朱岩;林泽楠;,教育部人文社会科学重点研究基地清华大学现代管理研究中心;,2009
基于数据挖掘视角的商业银行业绩聚类方法应用研究,王李;,吉林大学管理学院;,2009
知识管理和商务智能关系研究,周瑾;黄立平;,同济大学经济与管理学院;广东商学院信息学院;,2009
基于DM的上市公司组合治理机制实证研究,张德明;曹秀英;李洪;,北京大学光华管理学院;中国工商银行北京市分行财务会计部;重庆师范大学管理学院;,2009
基于数据挖掘思想下的中国证券市场内幕信息操纵判别研究,许永斌;陈佳;,浙江工商大学财务与会计学院;,2009
数据挖掘方法应用于调查数据的抽样权重问题——基于放回比例抽样的再抽样方法,谢佳斌;金勇进;谢邦昌;,中国人民大学统计学院;中国台湾辅仁大学统计信息学系;中国台湾辅仁大学应用统计所;中华资料采矿协会(台湾);厦门大学经济学院;,2009
美国审计署的灾民救助金控制框架及启示,华金秋;胡顺华;陈博为;,深圳大学经济学院;广东省经济贸易职业技术学校;英国约克大学数学系;,2009
我国高等院校优势学科分布与建设现状研究——对教育部学位中心2009年学科评估结果数据挖掘与评价分析,章小辉;,中国人民公安大学警训部;,2009
数据挖掘技术在美国院校研究中的应用,常桐善;,美国加州大学校长办公室;,2009
基于关联的聚类分析在个性化服务中的应用,陈雪刚;李肯立;,湘南学院数学系;湖南大学计算机与通讯学院;,2009
多源日志的数据挖掘方法研究,刘成山;张秀君;刘怀亮;,西安电子科技大学经济管理学院;西安交通大学经济与金融学院;,2009
基于面板数据的数据仓库模型设计,文娟;,厦门大学计划统计系;,2009
国家自然科学基金项目研究进展  国家基金委创新群体科研基金项目“数据挖掘与智能知识管理的理论与应用研究”成果介绍,石勇;杨宏进;,NA,2009
混合式机器学习系统在家庭服装消费支出决策模型中的应用研究,沈蕾;王超;,东华大学旭日工商管理学院;,2009
客观聚类在客户价值细分中的研究,赵珩君;,四川大学工商管理学院;,2009
知识型客户关系管理研究,郭迎春;,华北电力大学工商管理学院;河北大学数学与计算机学院;,2009
韩资企业专利行为与其跨国母体专利战略问题研究——以韩国LG在华所属乐金公司为例,毛昊;孙莹;刘洋;,国家知识产权局知识产权发展研究中心;北京科技大学经济管理学院;中国科学院科技政策与管理科学研究所;,2009
