题目T1,作者A1,地址AD,年份YR
大数据时代中国政治学的机遇与挑战,唐皇凤;谢德胜;,武汉大学政治与公共管理学院;,2016
思维与技术:大数据支持下的政府流程再造,刘晓洋;,广州大学公共管理学院;,2016
大数据如何改善社会治理:国外“大数据社会福祉”运动的案例分析和借鉴,吴湛微;禹卫华;,上海交通大学媒体与设计学院;,2016
国内外政务大数据应用发展述评:方向与问题,于施洋;王建冬;童楠楠;,国家信息中心信息化研究部;中国人民大学信息资源管理学院;,2016
基于大数据的公共政策评估研究:回顾与建议,魏航;王建冬;童楠楠;,国家发展改革委互联网大数据分析中心;国家信息中心信息化研究部;中国人民大学信息资源管理学院;,2016
大数据环境下的政府信息服务创新:研究现状与发展对策,于施洋;王建冬;童楠楠;,国家信息中心信息化研究部;中国人民大学信息资源管理学院;,2016
全局数据:大数据时代数据治理的新范式,朱琳;赵涵菁;王永坤;金耀辉;,华东理工大学社会与公共管理学院;上海优天网络技术有限公司;上海交通大学网络信息中心;,2016
应用大数据推动政府治理现代化的SWOT分析,牛正光;奉公;,中国农业大学人文与发展学院;,2016
发展教育大数据:内涵、价值和挑战,杨现民;唐斯斯;李冀红;,"江苏师范大学教育研究院,江苏省教育信息化工程技术研究中心;国家信息中心;江苏师范大学教育研究院;",2016
基于学习者个性行为分析的学习结果预测框架设计研究,武法提;牟智佳;,北京师范大学教育学部教育技术学院;,2016
大数据时代的教育决策研究:数据的力量与模拟的优势,顾小清;薛耀锋;孙妍妍;,华东师范大学教育信息技术学系;华东师范大学上海数字化教育装备工程技术研究中心;,2016
基于大数据技术对美国职业篮球联赛的研究,杨振兴;杨军;白洁;刘林星;,首都师范大学体育教研部;滨州学院体育系;国家体育总局体育信息中心;,2016
新闻出版业大数据应用的思索与展望,张新新;,地质出版社;,2016
大数据时代的数据拥有者——专业出版视角的数据类型与价值分析,尚策;,人民日报数字传播有限公司;,2016
大数据算法的精确制导:信贷客户识别以及特征要素分析,孙存一;张秋;王彩霞;,中国人民大学财政金融学院;吉林财经大学金融学院;北京经开租赁有限公司;,2016
传统媒体预测经济的“大数据+”模式及实践价值,喻国明;樊拥军;,中国人民大学新闻学院;,2016
数据新闻的历史、现状与发展趋势,陈虹;秦静;,华东师范大学传播学院;,2016
自媒体时代网络舆情生成和传播机制研究——基于大数据社会网络分析视角,黎红友;陈宇;,四川大学计算机学院;,2016
基于互联网大数据的宏观经济监测预测研究:理论与方法,陈龙;王建冬;窦悦;,北京大学社会学系;国家信息中心信息化研究部;,2016
大数据集成的权益危机与价值回归,蒋洁;卫承霏;何亮亮;,南京信息工程大学公共管理学院//中意网络侵权研究所;,2016
大数据应用促进大数据产业落地,崔小委;吴新年;,中国科学院兰州文献情报中心;中国科学院大学;,2016
论大数据时代科研方法新特征及其影响,张峰;张迪;,北京理工大学人文与社会科学学院;,2016
生态环境大数据应用探析,吴班;程春明;,环境保护部信息中心;,2016
大数据时代城乡规划学走向计量化的机遇与挑战,朱海玄;,哈尔滨工业大学建筑学院;,2016
语言学的交叉学科研究:语言普遍性、人类认知、大数据,梁君英;刘海涛;,浙江大学外国语言文化与国际交流学院;,2016
大数据时代大学英语课堂教学评价体系的构建,刘秀梅;,中国矿业大学(北京)文法学院;,2016
基于大数据的电影舆情数据挖掘与风险监控研究,倪万;,山东大学文学与新闻传播学院;,2016
数客:大数据时代文化创意经济的先行官,金元浦;,上海交通大学人文学院;,2016
大数据技术在预防官员贪腐犯罪中的应用,付艳茹;马强;,浙江警官职业学院基础部;浙江警官职业学院信息系;,2016
大数据环境下的政务智能:框架与流程,李洪波;熊励;刘寅斌;,上海大学管理学院;,2016
大数据时代的国家社会管理现代化:模式变革与战略应对,李胜;,江西财经大学财税与公共管理学院;,2016
大数据环境下我国政府公共数据整合与开放研究——基于上海市政府的案例分析,王运;李宇佳;严贝妮;,安徽大学管理学院;,2016
大数据时代的社会冲突治理创新研究,刘英基;,河南师范大学公共政策与社会管理创新研究中心;,2016
大数据时代的国家治理:挑战与变革,楚德江;韩雪;,江苏师范大学公共事务研究院;,2016
大数据视域下的政府公共服务创新之道,陶国根;,中共江西省委党校公共管理学教研部;,2016
教育大数据的技术体系框架与发展趋势——“教育大数据研究与实践专栏”之整体框架篇,杨现民1;唐斯斯1;李冀红1;,江苏师范大学智慧教育研究中心;国家信息中心中国智慧城市发展研究中心;,2016
大数据环境下学业预警系统设计与分析,金义富;吴涛;张子石;王伟东;,岭南师范学院广东高校数字化学习工程技术开发中心;,2016
个性化自适应学习研究——大数据时代数字化学习的新常态,姜强;赵蔚;李松;王朋娇;,东北师范大学计算机科学与信息技术学院;国家开放大学教育教学部;辽宁师范大学计算机与信息技术学院;,2016
创新实践平台对研究生发展质量的贡献研究——以西北工业大学创新平台建设为例,李圣;李勇;王海燕;张涛;,西北工业大学研究生院;西北工业大学软件与微电子学院;,2016
大数据教育应用的伦理思考,张燕南;赵中建;,华东师范大学国际与比较教育研究所;华东师范大学课程与教学研究所;,2016
大数据环境下高校教师数据素养现状及提升策略探析——基于上海地区高校的调查分析,郝媛玲;沈婷婷;,上海大学图书馆;,2016
基于易班构建高校网络思想政治教育大数据平台的思考与实践——以重庆大学为例,吴昊;黄禹鑫;,重庆大学校团委;重庆大学机械工程学院;,2016
大数据时代我国体育发展面临的机遇与挑战,王奇;颜小燕;,安徽机电职业技术学院;安徽工程大学体育学院;,2016
大数据时代档案学教育的新常态与实践拓展,何振;杨文;唐思慧;邢文明;,湘潭大学公共管理学院;,2016
数据决策在医学出版选题策划中的应用初探,李海凌;,人民卫生出版社;,2016
大数据环境下个人数据溯源管理体系研究,殷建立;王忠;,天津大学管理与经济学部;北京市社会科学院;,2016
数据生态的危险趋势与数据科学的可能空间——兼谈中国市场调查业的现状与问题,刘德寰;李雪莲;,北京大学新媒体研究院;北京大学新闻与传播学院;,2016
大数据环境下高校图书馆数据素养教育研究,邓李君;杨文建;,四川外国语大学图书馆;重庆第二师范学院图书馆;,2016
基于云计算的图书馆大数据服务研究,陈近;文庭孝;,湖南理工学院图书馆;中南大学医药信息系;,2016
大数据时代企业竞争情报系统的评价指标体系研究,吴金红;王翠波;,武汉纺织大学管理学院;中南民族大学管理学院;,2016
大数据时代科技情报专业化服务构想,刘小琳;曾祥效;,广东省科学技术情报研究所;,2016
大数据量图书下多数据集的二部图多样化推荐,蓝冬梅;,广西民族师范学院图书馆;,2016
基于大数据的虚拟社区知识共享模式及体系架构研究,黄家良;谷斌;,华南理工大学经济与贸易学院;,2016
信息生命周期视角下的大数据隐私风险管理框架研究,朱光;崔维军;张薇薇;,南京信息工程大学经济管理学院;,2016
基于内容挖掘的国际大数据研究主题分析,董克;陶艳;,武汉大学信息管理学院;南京航空航天大学图书馆;,2016
大数据定价问题分析,刘朝阳;,中共中央党校政法教研部;,2016
我国内贸流通统计体系完善与创新,胡迪;,商务部流通发展司;,2016
网络行为金融大数据与中国证券市场的相关性研究,戴国良;,中山大学南方学院;,2016
大数据时代的经济学研究:数据驱动范式,崔俊富;邹一南;陈金伟;,南京航空航天大学经济与管理学院;中共中央党校经济学教研部;,2016
互联网时代下的气象数据应用分析,刘巍巍;刘寿东;范秋丹;,南京信息工程大学;中国气象局公共气象服务中心;,2016
如何真正提升我国危化品安全管理——基于危化事故大数据的分析,王旭磊;赵来军;,上海交通大学中美物流研究院;,2016
输变电工程造价分析信息平台建设研究,陈洪彦;蒋文新;郭晓丹;,国网吉林省电力有限公司经济技术研究院;,2016
网民对“人祸”事件的道德情绪特点——基于微博大数据研究,叶勇豪;许燕;朱一杰;梁炯潜;兰天;于淼;,"北京师范大学心理学院;北京师范大学应用实验心理北京市重点实验室;Deparment of Computer Science and Engineering,The Ohio State University;",2016
基于大数据的反恐情报数据仓库体系结构设计,瞿志凯;张婷;,中国人民武装警察部队学院;,2016
“十三五”我国智慧城市“转型创新”发展的路径研究,宁家骏;王金祥;杨道玲;肖拥军;史睿;张楠;宋刚;董超;王丰锦;李雪莲1;,中国信息化推进联盟信息化协同创新专业委员会;,2016
大数据的财产属性研究,王玉林;高富平;,安徽科技学院图书馆;华东政法大学财产法研究院;,2016
